transaction_id,date,filer,transaction_type,amount,payee,purpose,explanation,target_candidate,support_oppose,amount_toward_target,race,office,district,party,detail_url,first_seen,phase,target_as_filed
a_01m1pbw30gfczav87ges6s07zn,2026-09-03,MPA CAMPAIGN VOTE!,Independent Expenditure,2596.86,MAINE PEOPLE'S ALLIANCE,"PER - Staffing, consulting",Canvass contract,Shanna Cox,Support,432.81,Senator District 21,Senator,21,Democratic,https://www.mainecampaignfinancedisclosure.com/public/activities/a_01m1pbw30gfczav87ges6s07zn,2026-09-04 17:29,General,
a_01m1pbw30gfczav87ges6s07zn,2026-09-03,MPA CAMPAIGN VOTE!,Independent Expenditure,2596.86,MAINE PEOPLE'S ALLIANCE,"PER - Staffing, consulting",Canvass contract,Scott A. Harriman,Support,432.81,Representative District 94,Representative,94,Democratic,https://www.mainecampaignfinancedisclosure.com/public/activities/a_01m1pbw30gfczav87ges6s07zn,2026-09-04 17:29,General,
a_01m1pbw30gfczav87ges6s07zn,2026-09-03,MPA CAMPAIGN VOTE!,Independent Expenditure,2596.86,MAINE PEOPLE'S ALLIANCE,"PER - Staffing, consulting",Canvass contract,Laurie Osher,Support,432.81,Representative District 25,Representative,25,Democratic,https://www.mainecampaignfinancedisclosure.com/public/activities/a_01m1pbw30gfczav87ges6s07zn,2026-09-04 17:29,General,
a_01m1pbw30gfczav87ges6s07zn,2026-09-03,MPA CAMPAIGN VOTE!,Independent Expenditure,2596.86,MAINE PEOPLE'S ALLIANCE,"PER - Staffing, consulting",Canvass contract,Gordon Powell Street,Support,432.81,Representative District 28,Representative,28,Democratic,https://www.mainecampaignfinancedisclosure.com/public/activities/a_01m1pbw30gfczav87ges6s07zn,2026-09-04 17:29,General,
a_01m1pbw30gfczav87ges6s07zn,2026-09-03,MPA CAMPAIGN VOTE!,Independent Expenditure,2596.86,MAINE PEOPLE'S ALLIANCE,"PER - Staffing, consulting",Canvass contract,Hannah Pingree,Support,432.81,Governor,Governor,-,Democratic,https://www.mainecampaignfinancedisclosure.com/public/activities/a_01m1pbw30gfczav87ges6s07zn,2026-09-04 17:29,General,
a_01m1pbw30gfczav87ges6s07zn,2026-09-03,MPA CAMPAIGN VOTE!,Independent Expenditure,2596.86,MAINE PEOPLE'S ALLIANCE,"PER - Staffing, consulting",Canvass contract,Michael Tipping,Support,432.81,Senator District 8,Senator,8,Democratic,https://www.mainecampaignfinancedisclosure.com/public/activities/a_01m1pbw30gfczav87ges6s07zn,2026-09-04 17:29,General,Mike Tipping
a_01m1pcfmdrenbrgfjwgvk5b04z,2026-09-03,MPA Votes,Independent Expenditure,500.00,MAINE PEOPLE'S ALLIANCE,"LIT - Palmcards, signs, stickers, etc.",canvass lit,Shanna Cox,Support,83.33,Senator District 21,Senator,21,Democratic,https://www.mainecampaignfinancedisclosure.com/public/activities/a_01m1pcfmdrenbrgfjwgvk5b04z,2026-09-04 17:29,General,
a_01m1pcfmdrenbrgfjwgvk5b04z,2026-09-03,MPA Votes,Independent Expenditure,500.00,MAINE PEOPLE'S ALLIANCE,"LIT - Palmcards, signs, stickers, etc.",canvass lit,Hannah Pingree,Support,83.34,Governor,Governor,-,Democratic,https://www.mainecampaignfinancedisclosure.com/public/activities/a_01m1pcfmdrenbrgfjwgvk5b04z,2026-09-04 17:29,General,
a_01m1pcfmdrenbrgfjwgvk5b04z,2026-09-03,MPA Votes,Independent Expenditure,500.00,MAINE PEOPLE'S ALLIANCE,"LIT - Palmcards, signs, stickers, etc.",canvass lit,Scott A. Harriman,Support,83.34,Representative District 94,Representative,94,Democratic,https://www.mainecampaignfinancedisclosure.com/public/activities/a_01m1pcfmdrenbrgfjwgvk5b04z,2026-09-04 17:29,General,
a_01m1pcfmdrenbrgfjwgvk5b04z,2026-09-03,MPA Votes,Independent Expenditure,500.00,MAINE PEOPLE'S ALLIANCE,"LIT - Palmcards, signs, stickers, etc.",canvass lit,Michael Tipping,Support,83.33,Senator District 8,Senator,8,Democratic,https://www.mainecampaignfinancedisclosure.com/public/activities/a_01m1pcfmdrenbrgfjwgvk5b04z,2026-09-04 17:29,General,
